id,last_name,first_name,middle_name,suffix,nickname,full_name,birthday,gender,type,state,district,senate_class,party,url,address,phone,contact_form,rss_url,twitter,twitter_id,facebook,youtube,youtube_id,mastodon,bioguide_id,thomas_id,opensecrets_id,lis_id,fec_ids,cspan_id,govtrack_id,votesmart_id,ballotpedia_id,washington_post_id,icpsr_id,wikipedia_id
26,Stone,Michael,Jenifer,,,,,M,rep,MD,1,,,,,,,,,,,,,,S000961,,,,,,410420,,,,8983,Michael Jenifer Stone
27,Van Rensselaer,Jeremiah,,,,,1738-08-27,M,rep,NY,6,,,,,,,,,,,,,,V000053,,,,,,411095,,,,9629,Jeremiah Van Rensselaer
28,Wynkoop,Henry,,,,,1737-03-02,M,rep,PA,-1,,,,,,,,,,,,,,W000783,,,,,,411931,,,,10405,Henry Wynkoop
29,Dickinson,Philemon,,,,,1739-04-05,M,sen,NJ,,2,Pro-Administration,,,,,,,,,,,,D000324,,,,,,403444,,,,2576,Philemon Dickinson
30,Walker,John,,,,,1744-02-13,M,sen,VA,,1,Pro-Administration,,,,,,,,,,,,W000059,,,,,,411238,,,,9747,John Walker (Virginia politician)
31,Ashe,John,Baptista,,,,,M,rep,NC,3,,,,,,,,,,,,,,A000307,,,,,,400951,,,,259,John Baptista Ashe (Continental Congress)
32,Barnwell,Robert,,,,,1761-12-21,M,rep,SC,2,,,,,,,,,,,,,,B000167,,,,,,401169,,,,456,Robert Barnwell
33,Burr,Aaron,,,,,1756-02-06,M,sen,NY,,1,Republican,,,,,,,,,,,,B001133,,,,,,402077,,,,1302,Aaron Burr
34,Cabot,George,,,,,1752-12-03,M,sen,MA,,1,Federalist,,,,,,,,,,,,C000009,,,,,,402171,,,,1384,George Cabot
35,Carroll,Charles,,,of Carrollton,,1737-09-19,M,sen,MD,,1,,,,,,,,,,,,,C000185,,,,,,402332,,,,1536,Charles Carroll of Carrollton
36,Ellsworth,Oliver,,,,,1745-04-29,M,sen,CT,,1,Federalist,,,,,,,,,,,,E000147,,,,,,403838,,Oliver Ellsworth,,2936,Oliver Ellsworth
37,Gerry,Elbridge,,,,,1744-07-17,M,rep,MA,3,,,,,,,,,,,,,,G000139,,,,,,404507,,,,3541,Elbridge Gerry
38,Huger,Daniel,,,,,1742-02-20,M,rep,SC,3,,,,,,,,,,,,,,H000916,,,,,,405761,,,,4695,Daniel Huger
39,Jacobs,Israel,,,,,1726-06-09,M,rep,PA,3,,,,,,,,,,,,,,J000036,,,,,,405941,,,,4871,Israel Jacobs
40,Key,Philip,,,,,,M,rep,MD,1,,,,,,,,,,,,,,K000158,,,,,,406322,,,,5224,Philip Key (U.S. politician)
41,Read,George,,,,,1733-09-18,M,sen,DE,,1,,,,,,,,,,,,,R000091,,,,,,409071,,,,7762,"George Read (American politician, born 1733)"
42,Robinson,Moses,,,,,1741-03-22,M,sen,VT,,1,Anti-Administration,,,,,,,,,,,,R000350,,,,,,409321,,,,7989,Moses Robinson
43,Schoonmaker,Cornelius,Corneliusen,,,,,M,rep,NY,4,,,,,,,,,,,,,,S000140,,,,,,409648,,,,8272,Cornelius C. Schoonmaker
44,Seney,Joshua,,,,,1756-03-04,M,rep,MD,2,,,,,,,,,,,,,,S000242,,,,,,409746,,,,8363,Joshua Seney
45,Sheredine,Upton,,,,,,M,rep,MD,6,,,,,,,,,,,,,,S000340,,,,,,409837,,,,8449,Upton Sheredine
46,Sherman,Roger,,,,,1721-04-19,M,sen,CT,,3,Pro-Administration,,,,,,,,,,,,S000349,,,,,,409845,,,,8457,Roger Sherman
47,Silvester,Peter,,,,,,M,rep,NY,5,,,,,,,,,,,,,,S000412,,,,,,409906,,,,8511,Peter Silvester (1734–1808)
48,Steele,John,,,,,1764-11-16,M,rep,NC,1,,,,,,,,,,,,,,S000832,,,,,,410296,,,,8869,John Steele (North Carolina politician)
49,Sterett,Samuel,,,,,,M,rep,MD,4,,,,,,,,,,,,,,S000866,,,,,,410328,,,,8896,Samuel Sterett
50,Sturges,Jonathan,,,,,1740-08-23,M,rep,CT,-1,,,,,,,,,,,,,,S001047,,,,,,410501,,,,9062,Jonathan Sturges
51,Tucker,Thomas,Tudor,,,,1745-06-25,M,rep,SC,5,,,,,,,,,,,,,,T000403,,,,,,410972,,,,9501,Thomas Tudor Tucker
52,Wayne,Anthony,,,,,1745-01-01,M,rep,GA,1,,,,,,,,,,,,,,W000216,,,,,,411384,,,,9885,Anthony Wayne
53,White,Alexander,,,,,,M,rep,VA,1,,,,,,,,,,,,,,W000352,,,,,,411514,,,,10006,Alexander White (Virginia politician)
54,Williamson,Hugh,,,,,1735-12-05,M,rep,NC,4,,Federalist,,,,,,,,,,,,W000551,,,,,,411707,,,,10193,Hugh Williamson
55,Willis,Francis,,,,,1745-01-05,M,rep,GA,3,,,,,,,,,,,,,,W000560,,,,,,411716,,,,10202,Francis Willis (Representative)
56,Edwards,John,,,,,,M,sen,KY,,3,Anti-Administration,,,,,,,,,,,,E000075,,,,,,403764,,,,2866,John Edwards (Kentucky politician)
57,Potts,Richard,,,,,1753-07-19,M,sen,MD,,1,Federalist,,,,,,,,,,,,P000473,,,,,,408858,,,,7564,Richard Potts
58,Armstrong,James,,,,,1748-08-29,M,rep,PA,-1,,,,,,,,,,,,,,A000280,,,,,,400920,,,,231,James Armstrong (Pennsylvania politician)
59,Beatty,John,,,,,1749-12-10,M,rep,NJ,-1,,,,,,,,,,,,,,B000282,,,,,,401276,,,,554,John Beatty (Continental Congress)
60,Boudinot,Elias,,,,,1740-05-02,M,rep,NJ,-1,,,,,,,,,,,,,,B000661,,,,,,401623,,,,878,Elias Boudinot
61,Bourne,Shearjashub,,,,,1746-06-14,M,rep,MA,3,,,,,,,,,,,,,,B000671,,,,,,401633,,,,886,Shearjashub Bourne
62,Bradford,William,,,,,1729-11-04,M,sen,RI,,2,Federalist,,,,,,,,,,,,B000739,,,,,,401699,,,,951,William Bradford (Rhode Island politician)
63,Cadwalader,Lambert,,,,,,M,rep,NJ,-1,,,,,,,,,,,,,,C000012,,,,,,402174,,,,1387,Lambert Cadwalader (representative)
64,Carnes,Thomas,Petters,,,,,M,rep,GA,0,,,,,,,,,,,,,,C000163,,,,,,402311,,,,1518,Thomas P. Carnes
65,Clark,Abraham,,,,,1726-02-15,M,rep,NJ,-1,,,,,,,,,,,,,,C000418,,,,,,402557,,,,1750,Abraham Clark
66,Cobb,David,,,,,1748-09-14,M,rep,MA,-1,,,,,,,,,,,,,,C000545,,,,,,402678,,,,1865,David Cobb (Massachusetts politician)
67,Coffin,Peleg,,Jr.,,,1756-11-03,M,rep,MA,3,,,,,,,,,,,,,,C000591,,,,,,402720,,,,1906,Peleg Coffin Jr.
68,Dawson,William,Johnson,,,,,M,rep,NC,8,,Anti-Administration,,,,,,,,,,,,D000157,,,,,,412032,,,,2432,William Johnston Dawson
69,Edwards,Benjamin,,,,,1753-08-12,M,rep,MD,3,,,,,,,,,,,,,,E000060,,,,,,403755,,,,2859,Benjamin Edwards (Maryland politician)
70,Fitzsimons,Thomas,,,,,,M,rep,PA,-1,,,,,,,,,,,,,,F000178,,,,,,404133,,,,3196,Thomas Fitzsimons
71,Forrest,Uriah,,,,,,M,rep,MD,3,,,,,,,,,,,,,,F000282,,,,,,404232,,,,3285,Uriah Forrest
72,Frelinghuysen,Frederick,,,,,1753-04-13,M,sen,NJ,,2,Federalist,,,,,,,,,,,,F000368,,,,,,404314,,,,3361,Frederick Frelinghuysen (general)
73,Gillon,Alexander,,,,,,M,rep,SC,5,,,,,,,,,,,,,,G000211,,,,,,404574,,,,3607,Alexander Gillon
74,Gordon,James,,,,,1739-10-31,M,rep,NY,9,,,,,,,,,,,,,,G000311,,,,,,404669,,,,3695,James Gordon (New York politician)
75,Griffin,Samuel,,,,,,M,rep,VA,13,,,,,,,,,,,,,,G000466,,,,,,404811,,,,3825,Samuel Griffin
76,Holten,Samuel,,,,,1738-06-09,M,rep,MA,1,,,,,,,,,,,,,,H000750,,,,,,405601,,,,4546,Samuel Holten
77,Irvine,William,,,,,1741-11-03,M,rep,PA,-1,,,,,,,,,,,,,,I000035,,,,,,405892,,,,4820,William Irvine (general)
78,Learned,Amasa,,,,,1750-11-15,M,rep,CT,-1,,,,,,,,,,,,,,L000178,,,,,,406680,,,,5543,Amasa Learned
79,Lee,Richard,Bland,,,,1761-01-20,M,rep,VA,17,,,,,,,,,,,,,,L000200,,,,,,406703,,,,5564,Richard Bland Lee
80,Martin,Alexander,,,,,,M,sen,NC,,2,Republican,,,,,,,,,,,,M000166,,,,,,407188,,,,6012,Alexander Martin
81,McDowell,Joseph,,,,,1758-02-25,M,rep,NC,1,,,,,,,,,,,,,,M000424,,,,,,407423,,,,6230,"Joseph ""Pleasant Gardens"" McDowell"
82,Mebane,Alexander,,,,,1744-11-26,M,rep,NC,4,,,,,,,,,,,,,,M000622,,,,,,407611,,,,6401,Alexander Mebane
83,Mercer,John,Francis,,,,1759-05-17,M,rep,MD,2,,,,,,,,,,,,,,M000645,,,,,,407631,,,,6418,John Francis Mercer
84,Mitchell,Stephen,Mix,,,,1743-12-09,M,sen,CT,,3,Pro-Administration,,,,,,,,,,,,M000828,,,,,,407803,,,,6574,Stephen Mix Mitchell
85,Montgomery,William,,,,,1736-08-03,M,rep,PA,-1,,,,,,,,,,,,,,M000873,,,,,,407845,,,,6608,William Montgomery (Pennsylvania soldier)
86,Neville,Joseph,,,,,,M,rep,VA,3,,,,,,,,,,,,,,N000055,,,,,,408143,,,,6883,Joseph Neville
87,Niles,Nathaniel,,,,,1741-04-03,M,rep,VT,2,,,,,,,,,,,,,,N000109,,,,,,408193,,,,6932,Nathaniel Niles (politician)
88,Pickens,Andrew,,,,,1739-09-13,M,rep,SC,6,,,,,,,,,,,,,,P000320,,,,,,408719,,,,7425,Andrew Pickens (congressman)
89,Scott,Thomas,,,,,,M,rep,PA,-1,,,,,,,,,,,,,,S000186,,,,,,409691,,,,8312,Thomas Scott (American politician)
90,Strong,Caleb,,,,,1745-01-09,M,sen,MA,,2,Federalist,,,,,,,,,,,,S001009,,,,,,410466,,,,9028,Caleb Strong
91,Talbot,Silas,,,,,1751-01-11,M,rep,NY,10,,,,,,,,,,,,,,T000019,,,,,,410609,,,,9161,Silas Talbot
92,Tredwell,Thomas,,,,,1743-02-06,M,rep,NY,2,,,,,,,,,,,,,,T000361,,,,,,410931,,,,9463,Thomas Tredwell
93,Van Gaasbeck,Peter,,,,,1754-09-27,M,rep,NY,4,,,,,,,,,,,,,,V000039,,,,,,411084,,,,9615,Peter Van Gaasbeck
94,Vining,John,,,,,1758-12-23,M,sen,DE,,2,Federalist,,,,,,,,,,,,V000104,,,,,,411159,,,,9676,John Vining
95,Wadsworth,Jeremiah,,,,,1743-07-12,M,rep,CT,-1,,,,,,,,,,,,,,W000013,,,,,,411192,,,,9706,Jeremiah Wadsworth
96,Walker,Francis,,,,,1764-06-22,M,rep,VA,14,,,,,,,,,,,,,,W000051,,,,,,411230,,,,9739,Francis Walker (Virginia politician)
97,Ward,Artemas,,,,,1727-11-26,M,rep,MA,2,,,,,,,,,,,,,,W000127,,,,,,411302,,,,9808,Artemas Ward
98,Watts,John,,,,,1749-08-27,M,rep,NY,1,,,,,,,,,,,,,,W000211,,,,,,411380,,,,9881,John Watts (New York politician)
99,Williams,Benjamin,,,,,1751-01-01,M,rep,NC,10,,,,,,,,,,,,,,W000491,,,,,,411648,,,,10136,Benjamin Williams
100,Wingate,Paine,,,,,1739-05-14,M,rep,NH,-1,,,,,,,,,,,,,,W000633,,,,,,411787,,,,10272,Paine Wingate
101,Tazewell,Henry,,,,,1753-11-27,M,sen,VA,,2,Republican,,,,,,,,,,,,T000107,,,,,,410689,,,,9238,Henry Tazewell
102,Walton,George,,,,,,M,sen,GA,,2,Federalist,,,,,,,,,,,,W000114,,,,,,412123,,,,9796,George Walton
103,Ames,Fisher,,,,,1758-04-09,M,rep,MA,8,,Federalist,,,,,,,,,,,,A000174,,,,,,400829,,,,154,Fisher Ames
104,Bingham,William,,,,,1752-03-08,M,sen,PA,,3,Federalist,,,,,,,,,,,,B000474,,,,,,401455,,,,719,William Bingham
105,Bloodworth,Timothy,,,,,,M,sen,NC,,3,Republican,,,,,,,,,,,,B000563,,,,,,401537,,,,800,Timothy Bloodworth
106,Bourne,Benjamin,,,,,1755-09-09,M,rep,RI,-1,,Federalist,,,,,,,,,,,,B000669,,,,,,401631,,,,884,Benjamin Bourne
107,Buck,Daniel,,,,,1753-11-09,M,rep,VT,2,,Federalist,,,,,,,,,,,,B001014,,,,,,401964,,,,1195,Daniel Buck
108,Coles,Isaac,,,,,1747-03-02,M,rep,VA,6,,Republican,,,,,,,,,,,,C000624,,,,,,402753,,,,1936,Isaac Coles
109,Crabb,Jeremiah,,,,,,M,rep,MD,3,,Federalist,,,,,,,,,,,,C000848,,,,,,402964,,,,2125,Jeremiah Crabb
110,Dearborn,Henry,,,,,1751-02-23,M,rep,MA,12,,Republican,,,,,,,,,,,,D000178,,,,,,403340,,,,2451,Henry Dearborn
111,Duvall,Gabriel,,,,,1752-12-06,M,rep,MD,2,,Republican,,,,,,,,,,,,D000578,,,,,,403681,,,,2796,Gabriel Duvall
112,Earle,Samuel,,,,,1760-11-28,M,rep,SC,6,,Republican,,,,,,,,,,,,E000010,,,,,,403706,,,,2816,Samuel Earle
113,Gilbert,Ezekiel,,,,,1756-03-25,M,rep,NY,6,,Federalist,,,,,,,,,,,,G000173,,,,,,404539,,,,3573,Ezekiel Gilbert
114,Greenup,Christopher,,,,,,M,rep,KY,1,,Republican,,,,,,,,,,,,G000434,,,,,,404782,,,,3798,Christopher Greenup
115,Gunn,James,,,,,1753-03-13,M,sen,GA,,3,Federalist,,,,,,,,,,,,G000526,,,,,,404870,,,,3877,James Gunn (senator)
116,Hancock,George,,,,,1754-06-13,M,rep,VA,5,,Federalist,,,,,,,,,,,,H000148,,,,,,405030,,,,4026,George Hancock (Virginia politician)
117,Hathorn,John,,,,,1749-01-09,M,rep,NY,4,,Republican,,,,,,,,,,,,H000348,,,,,,405217,,,,4193,John Hathorn
118,Heath,John,,,,,1758-05-08,M,rep,VA,19,,Republican,,,,,,,,,,,,H000431,,,,,,405297,,,,4269,John Heath (politician)
119,Henderson,Thomas,,,,,1743-08-15,M,rep,NJ,-1,,Federalist,,,,,,,,,,,,H000488,,,,,,405351,,,,4315,Thomas Henderson (New Jersey politician)
120,Henry,John,,,,,,M,sen,MD,,3,Federalist,,,,,,,,,,,,H000508,,,,,,405370,,,,4333,John Henry (Maryland politician)
121,Langdon,John,,,,,1741-06-26,M,sen,NH,,3,Republican,,,,,,,,,,,,L000067,,,,,,406576,,,,5449,John Langdon (politician)
122,Leonard,George,,,,,1729-07-04,M,rep,MA,7,,Federalist,,,,,,,,,,,,L000246,,,,,,406749,,,,5611,George Leonard (congressman)
123,Lyman,William,,,,,1755-12-07,M,rep,MA,2,,Republican,,,,,,,,,,,,L000530,,,,,,407014,,,,5852,William Lyman (congressman)
124,Marshall,Humphrey,,,,,,M,sen,KY,,3,Federalist,,,,,,,,,,,,M000155,,,,,,407176,,,,6000,Humphrey Marshall (politician)
125,Muhlenberg,Frederick,Augustus Conrad,,,,1750-01-01,M,rep,PA,2,,Republican,,,,,,,,,,,,M001063,,,,,,408029,,,,6781,Frederick Muhlenberg
126,Murray,William,Vans,,,,1760-02-09,M,rep,MD,8,,Federalist,,,,,,,,,,,,M001119,,,,,,408082,,,,6830,William Vans Murray
127,Orr,Alexander,Dalrymple,,,,1761-11-06,M,rep,KY,2,,Republican,,,,,,,,,,,,O000101,,,,,,408358,,,,7084,Alexander D. Orr
128,Page,John,,,,,1743-04-17,M,rep,VA,12,,Republican,,,,,,,,,,,,P000018,,,,,,408429,,,,7156,John Page (Virginia politician)
129,Paine,Elijah,,,,,1757-01-21,M,sen,VT,,3,Federalist,,,,,,,,,,,,P000026,,,,,,408437,,,,7164,Elijah Paine
130,Patten,John,,,,,1746-04-26,M,rep,DE,0,,Republican,,,,,,,,,,,,P000108,,,,,,408516,,,,7235,John Patten (American politician)
131,Preston,Francis,,,,,1765-08-02,M,rep,VA,4,,Republican,,,,,,,,,,,,P000514,,,,,,408899,,,,7603,Francis Preston
132,Read,Jacob,,,,,,M,sen,SC,,3,Federalist,,,,,,,,,,,,R000092,,,,,,409072,,,,7763,Jacob Read
133,Richards,John,,,,,1753-04-18,M,rep,PA,4,,Republican,,,,,,,,,,,,R000215,,,,,,409191,,,,7870,John Richards (Pennsylvania politician)
134,Rutherford,Robert,,,,,1728-10-20,M,rep,VA,1,,Republican,,,,,,,,,,,,R000548,,,,,,409504,,,,8148,Robert Rutherford (congressman)
135,Sherburne,John,Samuel,,,,,M,rep,NH,-1,,Republican,,,,,,,,,,,,S000339,,,,,,409836,,,,8448,John Samuel Sherburne
136,Smith,Isaac,,,,,,M,rep,NJ,-1,,Federalist,,,,,,,,,,,,S000555,,,,,,410037,,,,8637,Isaac Smith (New Jersey politician)
137,Sprigg,Thomas,,,,,,M,rep,MD,4,,Republican,,,,,,,,,,,,S000753,,,,,,410220,,,,8811,Thomas Sprigg
138,Strudwick,William,Francis,,,,,M,rep,NC,4,,Federalist,,,,,,,,,,,,S001029,,,,,,412181,,,,9048,William Francis Strudwick
139,Swift,Zephaniah,,,,,1759-02-27,M,rep,CT,-1,,Federalist,,,,,,,,,,,,S001119,,,,,,410571,,,,9127,Zephaniah Swift
140,Tatom,Absalom,,,,,,M,rep,NC,4,,Republican,,,,,,,,,,,,T000050,,,,,,410638,,,,9187,Absalom Tatom
141,Trumbull,Jonathan,,Jr.,,,1740-03-26,M,sen,CT,,3,Federalist,,,,,,,,,,,,T000389,,,,,,410958,,,,9489,Jonathan Trumbull Jr.
142,White,James,,,,,1749-06-16,M,rep,TN,-1,,,,,,,,,,,,,,W000377,,,,,,411538,,,,,James White (North Carolina politician)
143,Blount,William,,,,,1749-03-26,M,sen,TN,,2,Republican,,,,,,,,,,,,B000570,,,,,,401543,,,,806,William Blount
144,Goodhue,Benjamin,,,,,1748-09-20,M,sen,MA,,1,Federalist,,,,,,,,,,,,G000286,,,,,,404647,,,,3674,Benjamin Goodhue
145,Howard,John,Eager,,,,1752-06-04,M,sen,MD,,1,Federalist,,,,,,,,,,,,H000841,,,,,,405688,,,,4628,John Eager Howard
146,Hunter,John,,,,,,M,sen,SC,,2,Republican,,,,,,,,,,,,H000982,,,,,,412128,,,,4753,John Hunter (South Carolina politician)
147,Laurance,John,,,,,,M,sen,NY,,3,Federalist,,,,,,,,,,,,L000120,,,,,,406626,,,,5498,John Laurance
148,Tattnall,Josiah,,,,,,M,sen,GA,,2,Republican,,,,,,,,,,,,T000052,,,,,,410640,,,,9189,Josiah Tattnall (politician)
149,Allen,John,,,,,1763-06-12,M,rep,CT,-1,,Federalist,,,,,,,,,,,,A000129,,,,,,400785,,,,112,John Allen (Connecticut politician)
150,Benton,Lemuel,,,,,,M,rep,SC,3,,Republican,,,,,,,,,,,,B000396,,,,,,401387,,,,656,Lemuel Benton
151,Bradbury,Theophilus,,,,,1739-11-13,M,rep,MA,11,,Federalist,,,,,,,,,,,,B000735,,,,,,401695,,,,947,Theophilus Bradbury
152,Brooks,David,,,,,,M,rep,NY,5,,Federalist,,,,,,,,,,,,B000875,,,,,,401832,,,,1072,David Brooks (American politician)
153,Bryan,Nathan,,,,,,M,rep,NC,10,,Republican,,,,,,,,,,,,B000991,,,,,,401943,,,,1176,Nathan Bryan (North Carolina politician)
154,Bullock,Stephen,,,,,1735-10-10,M,rep,MA,7,,Federalist,,,,,,,,,,,,B001053,,,,,,402001,,,,1232,Stephen Bullock
155,Burges,Dempsey,,,,,,M,rep,NC,8,,Republican,,,,,,,,,,,,B001081,,,,,,402027,,,,1255,Dempsey Burgess
156,Chapman,John,,,,,1740-10-18,M,rep,PA,4,,Federalist,,,,,,,,,,,,C000313,,,,,,402455,,,,1655,John Chapman (Pennsylvania politician)
157,Chipman,Nathaniel,,,,,1752-11-15,M,sen,VT,,1,Federalist,,,,,,,,,,,,C000369,,,,,,402508,,,,1706,Nathaniel Chipman
158,Cochran,James,,,,,1769-02-11,M,rep,NY,10,,Federalist,,,,,,,,,,,,C000563,,,,,,402694,,,,1881,James Cochran (New York politician)
159,Coit,Joshua,,,,,1758-10-07,M,rep,CT,-1,,Federalist,,,,,,,,,,,,C000600,,,,,,402729,,,,1914,Joshua Coit
160,Davenport,James,,,,,1758-10-12,M,rep,CT,-1,,Federalist,,,,,,,,,,,,D000073,,,,,,403211,,,,2355,James Davenport (Connecticut politician)
161,Ege,George,,,,,1748-03-09,M,rep,PA,5,,Federalist,,,,,,,,,,,,E000089,,,,,,403782,,,,2881,George Ege
162,Foster,Theodore,,,,,1752-04-29,M,sen,RI,,1,Republican,,,,,,,,,,,,F000313,,,,,,404262,,,,3315,Theodore Foster
163,Freeman,Nathaniel,,Jr.,,,1766-05-01,M,rep,MA,5,,Republican,,,,,,,,,,,,F000365,,,,,,404311,,,,3358,Nathaniel Freeman Jr.
164,Harrison,Carter,Bassett,,,,,M,rep,VA,10,,Republican,,,,,,,,,,,,H000266,,,,,,412155,,,,4127,Carter Bassett Harrison
165,Hosmer,Hezekiah,Lord,,,,1765-06-07,M,rep,NY,6,,Federalist,,,,,,,,,,,,H000803,,,,,,405652,,,,4593,Hezekiah L. Hosmer
166,Latimer,Henry,,,,,1752-04-24,M,sen,DE,,1,Federalist,,,,,,,,,,,,L000115,,,,,,406621,,,,5494,Henry Latimer (politician)
167,Lloyd,James,,,,,,M,sen,MD,,3,Federalist,,,,,,,,,,,,L000377,,,,,,406869,,,,5725,James Lloyd (Maryland politician)
168,Locke,Matthew,,,,,,M,rep,NC,2,,Republican,,,,,,,,,,,,L000389,,,,,,406881,,,,5734,Matthew Locke (U.S. Congress)
169,Machir,James,,,,,,M,rep,VA,3,,Federalist,,,,,,,,,,,,M000013,,,,,,412066,,,,5879,James Machir
170,Mason,Stevens,Thomson,,,,1760-12-29,M,sen,VA,,1,Republican,,,,,,,,,,,,M000226,,,,,,407244,,,,6063,Stevens Thomson Mason (senator)
171,Matthews,William,,,,,1755-04-26,M,rep,MD,6,,Federalist,,,,,,,,,,,,M000256,,,,,,407274,,,,6087,William Matthews (politician)
172,McClenachan,Blair,,,,,,M,rep,PA,2,,Republican,,,,,,,,,,,,M000336,,,,,,412070,,,,6155,Blair McClenachan
173,McDowell,Joseph,,,,,1756-02-15,M,rep,NC,1,,Republican,,,,,,,,,,,,M000423,,,,,,407424,,,,6229,Joseph McDowell Jr.
174,Morgan,Daniel,,,,,,M,rep,VA,1,,Federalist,,,,,,,,,,,,M000946,,,,,,407914,,,,6674,Daniel Morgan
175,Parker,Isaac,,,,,1768-06-17,M,rep,MA,12,,Federalist,,,,,,,,,,,,P000058,,,,,,408468,,,,7192,Isaac Parker (Massachusetts judge)
176,Ross,James,,,,,1762-07-12,M,sen,PA,,1,Federalist,,,,,,,,,,,,R000448,,,,,,409412,,,,8070,James Ross (Pennsylvania politician)
177,Rutherfurd,John,,,,,1760-09-20,M,sen,NJ,,1,Federalist,,,,,,,,,,,,R000550,,,,,,409506,,,,8150,John Rutherfurd
178,Schuyler,Philip,John,,,,1733-11-20,M,sen,NY,,1,Federalist,,,,,,,,,,,,S000154,,,,,,409661,,,,8282,Philip Schuyler
179,Sinnickson,Thomas,,,,,1744-12-21,M,rep,NJ,-1,,Federalist,,,,,,,,,,,,S000448,,,,,,409941,,,,8544,Thomas Sinnickson (merchant)
180,Sitgreaves,Samuel,,,,,1764-03-16,M,rep,PA,4,,Federalist,,,,,,,,,,,,S000460,,,,,,409952,,,,8555,Samuel Sitgreaves
